  
 Print of DATAOBJECT Table in situation STEP_2 of component DFLT_COMP
 ====================================================================
  
 > Complex eigenvalues and frequencies in component system (Table CVALTAB.DISP)
 ----------------------------------------------------------------------------------------------------------
       Row       Frequency   Real(Lambda) Imag(Lambda) Damp.Coeff.   Circ.Freq   Eq.Dmp.Ratio  Ref.Freq.
             49  8.38005E+02 -1.60660E+02  5.26534E+03 -1.60660E+02  5.26534E+03  3.04986E-02  0.00000E+00
             50 -8.38005E+02 -1.60660E+02 -5.26534E+03 -1.60660E+02 -5.26534E+03  3.04986E-02  0.00000E+00
             51  8.60448E+02 -1.69092E+02  5.40635E+03 -1.69092E+02  5.40635E+03  3.12613E-02  0.00000E+00
             52 -8.60448E+02 -1.69092E+02 -5.40635E+03 -1.69092E+02 -5.40635E+03  3.12613E-02  0.00000E+00
             53  9.40446E+02 -2.00968E+02  5.90900E+03 -2.00968E+02  5.90900E+03  3.39909E-02  0.00000E+00
             54 -9.40446E+02 -2.00968E+02 -5.90900E+03 -2.00968E+02 -5.90900E+03  3.39909E-02  0.00000E+00
             55  9.84302E+02 -2.19650E+02  6.18455E+03 -2.19650E+02  6.18455E+03  3.54936E-02  0.00000E+00
             56 -9.84302E+02 -2.19650E+02 -6.18455E+03 -2.19650E+02 -6.18455E+03  3.54936E-02  0.00000E+00
             57  1.03057E+03 -2.40285E+02  6.47523E+03 -2.40285E+02  6.47523E+03  3.70828E-02  0.00000E+00
             58 -1.03057E+03 -2.40285E+02 -6.47523E+03 -2.40285E+02 -6.47523E+03  3.70828E-02  0.00000E+00
             59  1.09102E+03 -2.68684E+02  6.85506E+03 -2.68684E+02  6.85506E+03  3.91649E-02  0.00000E+00
             60 -1.09102E+03 -2.68684E+02 -6.85506E+03 -2.68684E+02 -6.85506E+03  3.91649E-02  0.00000E+00
             61  1.16403E+03 -3.05153E+02  7.31379E+03 -3.05153E+02  7.31379E+03  4.16867E-02  0.00000E+00
             62 -1.16403E+03 -3.05153E+02 -7.31379E+03 -3.05153E+02 -7.31379E+03  4.16867E-02  0.00000E+00
             63  1.17955E+03 -3.13217E+02  7.41136E+03 -3.13217E+02  7.41136E+03  4.22240E-02  0.00000E+00
             64 -1.17955E+03 -3.13217E+02 -7.41136E+03 -3.13217E+02 -7.41136E+03  4.22240E-02  0.00000E+00
             65  1.26898E+03 -3.61748E+02  7.97325E+03 -3.61748E+02  7.97325E+03  4.53235E-02  0.00000E+00
             66 -1.26898E+03 -3.61748E+02 -7.97325E+03 -3.61748E+02 -7.97325E+03  4.53235E-02  0.00000E+00
             67  1.31145E+03 -3.86044E+02  8.24006E+03 -3.86044E+02  8.24006E+03  4.67983E-02  0.00000E+00
             68 -1.31145E+03 -3.86044E+02 -8.24006E+03 -3.86044E+02 -8.24006E+03  4.67983E-02  0.00000E+00
             69  1.36518E+03 -4.17946E+02  8.57771E+03 -4.17946E+02  8.57771E+03  4.86669E-02  0.00000E+00
             70 -1.36518E+03 -4.17946E+02 -8.57771E+03 -4.17946E+02 -8.57771E+03  4.86669E-02  0.00000E+00
             71  1.43216E+03 -4.59517E+02  8.99852E+03 -4.59517E+02  8.99852E+03  5.09994E-02  0.00000E+00
             72 -1.43216E+03 -4.59517E+02 -8.99852E+03 -4.59517E+02 -8.99852E+03  5.09994E-02  0.00000E+00
             73  1.48917E+03 -4.96489E+02  9.35674E+03 -4.96489E+02  9.35674E+03  5.29877E-02  0.00000E+00
             74 -1.48917E+03 -4.96489E+02 -9.35674E+03 -4.96489E+02 -9.35674E+03  5.29877E-02  0.00000E+00
             75  1.53033E+03 -5.24084E+02  9.61532E+03 -5.24084E+02  9.61532E+03  5.44244E-02  0.00000E+00
             76 -1.53033E+03 -5.24084E+02 -9.61532E+03 -5.24084E+02 -9.61532E+03  5.44244E-02  0.00000E+00
             77  1.62595E+03 -5.91146E+02  1.02162E+04 -5.91146E+02  1.02162E+04  5.77672E-02  0.00000E+00
             78 -1.62595E+03 -5.91146E+02 -1.02162E+04 -5.91146E+02 -1.02162E+04  5.77672E-02  0.00000E+00
             79  1.63313E+03 -5.96349E+02  1.02613E+04 -5.96349E+02  1.02613E+04  5.80184E-02  0.00000E+00
             80 -1.63313E+03 -5.96349E+02 -1.02613E+04 -5.96349E+02 -1.02613E+04  5.80184E-02  0.00000E+00
             81  1.72273E+03 -6.63210E+02  1.08243E+04 -6.63210E+02  1.08243E+04  6.11560E-02  0.00000E+00
             82 -1.72273E+03 -6.63210E+02 -1.08243E+04 -6.63210E+02 -1.08243E+04  6.11560E-02  0.00000E+00
             83  1.77231E+03 -7.01762E+02  1.11357E+04 -7.01762E+02  1.11357E+04  6.28941E-02  0.00000E+00
             84 -1.77231E+03 -7.01762E+02 -1.11357E+04 -7.01762E+02 -1.11357E+04  6.28941E-02  0.00000E+00
             85  1.82423E+03 -7.43330E+02  1.14620E+04 -7.43330E+02  1.14620E+04  6.47158E-02  0.00000E+00
             86 -1.82423E+03 -7.43330E+02 -1.14620E+04 -7.43330E+02 -1.14620E+04  6.47158E-02  0.00000E+00
             87  1.89148E+03 -7.98983E+02  1.18845E+04 -7.98983E+02  1.18845E+04  6.70774E-02  0.00000E+00
             88 -1.89148E+03 -7.98983E+02 -1.18845E+04 -7.98983E+02 -1.18845E+04  6.70774E-02  0.00000E+00
             89  1.94085E+03 -8.41146E+02  1.21947E+04 -8.41146E+02  1.21947E+04  6.88127E-02  0.00000E+00
             90 -1.94085E+03 -8.41146E+02 -1.21947E+04 -8.41146E+02 -1.21947E+04  6.88127E-02  0.00000E+00
             91  1.99256E+03 -8.86491E+02  1.25196E+04 -8.86491E+02  1.25196E+04  7.06313E-02  0.00000E+00
