  
 Print of DATAOBJECT Table in situation STEP_1 of component DFLT_COMP
 ====================================================================
  
 > Eigenvalues and frequencies in component system (Table RVALTAB.DISP)
 ------------------------------------------------------
       Row       Frequency    Eigenvalue   Circ.Freq.
            114  5.84836E+03  7.40581E-10  3.67463E+04
            115  5.90508E+03  7.26423E-10  3.71027E+04
            116  5.94886E+03  7.15769E-10  3.73778E+04
            117  6.05258E+03  6.91447E-10  3.80295E+04
            118  6.09359E+03  6.82172E-10  3.82872E+04
            119  6.16665E+03  6.66103E-10  3.87462E+04
            120  6.25707E+03  6.46991E-10  3.93143E+04
            121  6.31807E+03  6.34559E-10  3.96976E+04
            122  6.38553E+03  6.21221E-10  4.01215E+04
            123  6.51013E+03  5.97670E-10  4.09043E+04
            124  6.51329E+03  5.97089E-10  4.09242E+04
            125  6.64534E+03  5.73596E-10  4.17539E+04
            126  6.70415E+03  5.63576E-10  4.21234E+04
            127  6.78382E+03  5.50417E-10  4.26240E+04
            128  6.88386E+03  5.34536E-10  4.32525E+04
            129  6.93776E+03  5.26262E-10  4.35912E+04
            130  7.03759E+03  5.11437E-10  4.42185E+04
            131  7.11563E+03  5.00281E-10  4.47088E+04
            132  7.18163E+03  4.91128E-10  4.51235E+04
            133  7.29837E+03  4.75541E-10  4.58570E+04
            134  7.32339E+03  4.72297E-10  4.60142E+04
            135  7.46352E+03  4.54730E-10  4.68946E+04
            136  7.47573E+03  4.53245E-10  4.69714E+04
            137  7.60134E+03  4.38389E-10  4.77606E+04
            138  7.64407E+03  4.33501E-10  4.80291E+04
            139  7.73592E+03  4.23269E-10  4.86062E+04
            140  7.80086E+03  4.16251E-10  4.90142E+04
            141  7.86628E+03  4.09356E-10  4.94253E+04
            142  7.94366E+03  4.01420E-10  4.99115E+04
            143  7.99158E+03  3.96620E-10  5.02126E+04
            144  8.07064E+03  3.88887E-10  5.07093E+04
            145  8.11050E+03  3.85075E-10  5.09598E+04
            146  8.18173E+03  3.78399E-10  5.14073E+04
            147  8.22009E+03  3.74876E-10  5.16483E+04
            148  8.27798E+03  3.69651E-10  5.20121E+04
            149  8.31652E+03  3.66233E-10  5.22542E+04
            150  8.35971E+03  3.62458E-10  5.25256E+04
            151  8.39701E+03  3.59245E-10  5.27600E+04
            152  8.42650E+03  3.56735E-10  5.29453E+04
            153  8.46007E+03  3.53909E-10  5.31562E+04
            154  8.47780E+03  3.52431E-10  5.32676E+04
            155  8.50504E+03  3.50177E-10  5.34387E+04
            156  8.51345E+03  3.49485E-10  5.34916E+04
            157  8.53185E+03  3.47980E-10  5.36072E+04
            158  8.53406E+03  3.47799E-10  5.36211E+04
 ------------------------------------------------------
  
