time_s,force
0.0,6.23303716465e-69
0.0015,0.0911331123429
0.003,0.178794664794
0.0045,0.261539181029
0.006,0.338036348191
0.0075,0.407091654385
0.009,0.467664246289
0.0105,0.518881755481
0.012,0.560051899813
0.0135,0.590670725994
0.015,0.61042742049
0.0165,0.619205676759
0.018,0.617081666727
0.0195,0.604318722173
0.021,0.581358886492
0.0225,0.548811548113
0.024,0.50743941301
0.0255,0.458142114449
0.027,0.401937792813
0.0285,0.339943006604
0.03,0.273351357066
0.0315,0.203411223231
0.033,0.131403011331
0.0345,0.0586163225172
0.036,-0.0136725641154
0.0375,-0.0842225099508
0.039,-0.151848273501
0.0405,-0.215439868005
0.042,-0.273980213929
0.0435,-0.326560816197
0.045,-0.372395235788
0.0465,-0.410830168317
0.048,-0.441353987528
0.0495,-0.463602658482
0.051,-0.477362972716
0.0525,-0.482573105037
0.054,-0.479320537953
0.0555,-0.467837444383
0.057,-0.448493661404
0.0585,-0.421787426738
0.06,-0.388334084833
0.0615,-0.348853000266
0.063,-0.304152942278
0.0645,-0.255116225233
0.066,-0.202681905425
0.0675,-0.147828344744
0.069,-0.0915554562147
0.0705,-0.0348669453967
0.072,0.0212471448336
0.0735,0.0758272902305
0.075,0.127960462498
0.0765,0.176794969641
0.078,0.221553926067
0.0795,0.261547147776
0.081,0.296181299626
0.0825,0.32496815592
0.084,0.347530872372
0.0855,0.363608207453
0.087,0.373056676957
0.0885,0.375850683827
0.09,0.372080750225
0.0915,0.361950117186
0.093,0.345770212916
0.0945,0.323955882823
0.096,0.297021878212
0.0975,0.265582915757
0.099,0.230360492962
0.1005,0.192200137968
0.102,0.152102059984
0.1035,0.111265092777
0.105,0.0711372917776
0.1065,0.0334563524244
0.108,0.000250987646168
0.1095,-0.0262347419379
0.111,-0.0437311171811
0.1125,-0.0502647568076
0.114,-0.044591686359
0.1155,-0.0266659077157
0.117,0.0019837389639
0.1185,0.0381191402434
0.12,0.0770240000791
0.1215,0.113137862468
0.123,0.14100553727
0.1245,0.156333072341
0.126,0.156874858823
0.1275,0.142900259779
0.129,0.11710249792
0.1305,0.0839783623304
0.132,0.0488622580622
0.1335,0.0168848453105
0.135,-0.00788182944545
0.1365,-0.0229208349222
0.138,-0.0273648546634
0.1395,-0.0217606513819
0.141,-0.00764249070594
0.1425,0.012937772125
0.144,0.0378121063568
0.1455,0.0649725402662
0.147,0.0927163530088
0.1485,0.119687096343
0.15,0.144850478065
0.1515,0.167440914468
0.153,0.186903771003
0.1545,0.202846545978
0.156,0.21500322291
0.1575,0.22321074468
0.159,0.227394427693
0.1605,0.227558949432
0.162,0.223782238699
0.1635,0.216210482932
0.165,0.205053213301
0.1665,0.190577946811
0.168,0.173104182333
0.1695,0.15299672495
0.171,0.130658405597
0.1725,0.106522308944
0.174,0.0810436444193
0.1755,0.0546914049267
0.177,0.0279399608529
0.1785,0.00126073583036
