time_s,true_force,L2_estimate,Huber_estimate,exact_L1_estimate
0.,0.,-1.561491196,0.5836129814,-0.7555489695
0.004013377926,4.106044941,2.738995258,2.914626615,3.507139989
0.008026755853,7.653665874,6.164693624,5.730880241,5.765065399
0.01204013378,10.21907848,9.330769632,7.995045252,7.776626651
0.01605351171,11.50410026,10.19904154,9.4583215,9.479479346
0.02006688963,11.37065133,10.23845467,9.87133606,10.82602927
0.02408026756,9.855242697,9.130184592,8.789451241,9.628755802
0.02809364548,7.16207453,6.397881069,6.188579909,6.776679361
0.03210702341,3.635752188,2.563405453,2.472374768,2.845317447
0.03612040134,-0.2374260165,-2.040767824,-1.649270773,-1.835160873
0.04013377926,-4.110604221,-6.161795928,-5.770916314,-6.008413939
0.04414715719,-7.383577696,-9.600901306,-9.033516775,-9.470611561
0.04816053512,-9.711132533,-11.74569462,-11.25526351,-11.63472038
0.05217391304,-10.82351854,-12.80487841,-12.46410375,-12.7029908
0.05618729097,-10.60273301,-13.35796906,-12.62211642,-13.26140171
0.0602006689,-9.094692314,-12.13862184,-11.38304201,-12.03408954
0.06421404682,-6.501360832,-8.802039737,-9.039258394,-8.643677163
0.06822742475,-3.153849617,-7.125776017,-6.188280233,-6.940379919
0.07224080268,0.4710856074,-2.606742887,-2.761147389,-2.326497683
0.0762541806,4.096020024,1.07515936,0.665984189,1.449265333
0.08026755853,7.11289264,2.863511892,3.026921825,3.285850062
0.08428093645,9.220968793,4.6518635,4.648642549,5.122433879
0.08829431438,10.17666953,5.55646132,5.571660288,6.085770636
0.09230769231,9.880155224,5.917189174,5.3488475,6.509971114
0.09632107023,8.385430472,3.657108874,3.457254191,4.265728099
0.1003344482,5.891526929,-0.2391400744,0.5255412735,0.3582109212
0.1043478261,2.716270466,-2.702225192,-2.406172188,-2.098596929
0.108361204,-0.673919543,-5.456816297,-5.337886282,-4.842876812
0.1123745819,-4.064108542,-9.028118016,-8.502358874,-8.417131948
0.1163879599,-6.840921228,-12.25207985,-11.66683042,-11.64665074
0.1204013378,-8.741816002,-14.93512505,-14.2090167,-14.34001747
0.1244147157,-9.540677097,-17.00161571,-15.49483023,-16.44747511
0.1284280936,-9.136893111,-15.49478922,-15.06383781,-14.92221809
0.1324414716,-7.551055094,-14.35888855,-13.49329168,-13.81197198
0.1364548495,-4.894219882,-11.75034745,-10.84441113,-11.22554545
0.1404682274,-1.312154268,-7.377241657,-7.265422416,-6.87828972
0.1444816054,3.083364992,-4.035840699,-3.203977785,-3.606504832
0.1484949833,8.270435435,1.057922839,1.73405837,1.446424986
0.1525083612,14.32194684,7.287249549,7.710787384,7.53318225
0.1565217391,21.32508417,13.51657781,14.43566536,14.81828504
0.1605351171,29.3770175,20.98193869,21.70122309,22.10338783
0.164548495,37.42895083,29.12449489,29.36232161,29.38849093
0.1685618729,45.48088416,37.87149188,37.02342012,38.16481623
0.1725752508,51.67883016,43.75880515,42.59388455,44.03901925
0.1765886288,54.80391278,46.13514167,45.17916165,46.34881658
0.1806020067,53.9122143,46.28567607,44.26832188,46.43017735
0.1846153846,48.88330163,40.65375217,39.25377565,40.6233535
0.1886287625,40.5585056,31.34330442,31.23679454,31.26217036
0.1926421405,30.56648092,22.03285667,22.35108496,21.90098722
0.1966555184,20.57445766,12.72240893,13.46537684,12.53980701
0.2006688963,12.27100833,3.41196269,6.332126689,6.685476393
0.2046822742,6.495359615,-1.091084587,1.198459124,1.710202253
0.2086956522,3.413247179,-4.692781432,-2.314814743,-1.726723437
0.2127090301,2.615502257,-5.501925981,-4.189834332,-5.163633898
0.216722408,3.376023612,-4.079323288,-4.433246178,-4.406853162
0.220735786,4.929307211,-4.405396277,-3.756645301,-4.545297025
0.2247491639,6.482589967,-2.219491811,-2.267240807,-2.167317997
0.2287625418,7.611152279,-0.5121021006,-0.7778373895,-0.3205108551
